"Selection Sort","Insertion Sort"
4300000,171300
4326800,171200
4315000,171200
4383100,171300
4297700,174200
4173300,171200
4137000,171200
4135000,171200
3970700,171200
4058900,171200
4026900,174200
3967000,171300
3965700,171200
4077000,171200
3804400,171200
4058700,174200
4064600,171100
3996600,171200
4582300,179200
7928100,171200
4086000,171200
5359100,174400
4153400,171300
4210600,171100
4234400,171200
4191600,171100
4209200,171200
4208400,175100
4226000,190000
4216900,178300
4127200,178400
4299100,178300
4201100,181500
4127700,178300
4126100,187100
4154100,171200
4362200,171200
4154600,171100
4126400,195800
4124700,171300
4167400,171400
4125500,171200
4172500,171200
4688600,171200
4742900,174300
4688200,171200
4686400,171200
4815600,171200
4689600,171100
4687000,171100
4763300,174200
4715600,171200
4880700,171100
4689500,171200
4734300,171100
4691200,174200
4706900,171200
4811100,171200
4237500,171100
3968000,171200
5610200,171100
4293200,176700
4304100,171200
4306900,171300
4351700,171100
4297100,171100
4306600,171200
4294800,174500
4308200,171300
4332200,171100
4313500,171000
4307100,171100
4328200,171100
4327400,174100
4298500,171100
4477000,171200
4299400,171100
4322000,171100
4297600,171100
4493400,174000
4301300,171200
4310100,171100
4308200,171100
3871800,171100
4141100,174100
4206200,171200
4169000,171200
4126400,171200
4102700,171200
3991500,171100
4166800,174200
4142100,171300
4048500,171200
3994500,171100
4043000,171200
3982600,171100
4031700,174200
4027300,171000
4159500,171100
3776900,171200
4119100,171100
5733800,171100
4647600,174200
4126800,171200
4155700,171200
4088600,171200
3920900,171200
4129200,171200
4034800,174100
4153500,171300
3961000,171200
4109400,171100
4013000,171200
4068000,174100
3934400,171100
4117700,171200
4073600,171100
4061400,171100
3889500,171100
4032100,174000
4089100,171300
4151300,171100
3880200,171100
4032000,171100
4032900,171100
4445900,174200
4036500,171100
4212200,171100
4033400,171100
4181100,171100
4127200,171100
4056900,174300
3996600,171200
3922900,171200
4017300,171100
3984500,171100
3969000,171200
3972600,174100
3995900,171200
3969600,171100
3967300,171100
3970500,171100
4013000,174200
5741000,171100
4117400,171200
4033000,171100
4215600,171100
4186200,171100
4165200,174200
4177300,171100
4181700,171100
4126400,171200
4178900,171200
4127400,171000
4178000,191800
4127900,172600
4316300,171600
4124900,171400
4180900,171200
4148300,171200
4128100,174400
4127600,171300
4178400,171200
4155300,171100
4141000,171100
4125600,174200
4173200,171200
4144700,171000
4029200,171100
4032800,171000
4015200,171100
4053100,174200
3968700,171200
3924700,171100
3660400,171100
4057700,171200
4231700,171200
4209300,174200
4169000,171200
4079700,171100
4110000,171200
4155000,171100
4175100,171100
4213700,174000
4125300,171200
4126000,171100
4228100,171200
5945200,171200
4127000,171200
4168300,174100
4181900,171300
4125600,171300
4147900,171200
4128500,171200
4269700,174200
3587000,171100
3266400,171200
3441700,171100
3679200,171200
3400900,171200
3334000,175000
3727000,171200
3775600,171200
4200400,171200
3504500,171100
3868000,171100
3487000,174100
3955600,171300
3479400,171100
3669600,171100
3351900,171200
3761600,171000
3600900,189100
3066900,171400
3016500,171400
3385000,171200
3693900,171200
3419100,171200
3213700,174100
2877200,171200
3504200,171100
3093700,171100
3363300,171100
2980400,174300
3639900,171200
3035400,171100
2913400,171100
3133700,171200
3703400,171000
3175500,174100
3120300,171100
2965700,171100
3168100,171200
4986700,171100
3026000,171200
2987000,174300
3243600,171200
3309500,171100
3481300,171100
3096200,171200
3167500,171100
3288900,174200
3630100,171300
3477600,180800
3350600,164600
3300500,164700
3607700,164600
4665500,187400
4006700,215300
4277600,166300
4312300,159200
4669500,159000
4188000,162300
3853500,158800
4510800,173900
4942500,164800
4471500,164700
5234200,168600
6003400,167600
4263300,164700
4387000,176400
5427000,158700
5350400,158700
5185600,158700
5454600,161500
5842300,160500
5167400,158600
5381300,179100
5370700,164800
5197300,164700
5468000,167700
5370700,164700
5158400,179700
5254900,171300
5560800,171300
4826800,171300
4426000,174300
4412000,171300
4288400,171200
4230700,171300
4509500,171200
6184200,171200
4505000,174300
4522000,171400
4512500,171200
4486000,171300
4457800,171200
4307200,171200
4326300,174300
4322700,171400
4298900,171300
4148900,171200
3819700,171200
4351500,171200
4367600,174200
4332700,171400
4369300,171200
4299200,171200
4308200,171200
4287100,174300
4190100,171300
4276300,171100
4754600,171100
3773800,171200
4100100,171200
4414700,174300
4416900,171200
4409800,171200
4304200,171300
4462300,171200
4519900,171200
4476700,174500
4490500,171300
4493400,171300
4481000,171200
4472600,171200
4432100,171300
4298800,179500
4295700,171400
4353600,171200
4360600,171300
4490900,171200
4370500,171200
4346500,174200
4409600,171200
4298600,171300
4322800,171300
4312400,171300
4297000,174000
4250400,171100
4168600,171200
6145300,171100
4275200,171200
3757900,171100
3977000,174200
3670100,171200
4023900,171200
4671300,171100
5137700,171000
5572900,171100
6098500,191600
6479800,207400
6124600,231600
6158100,265800
6142500,253600
6096400,273800
6213900,318800
6199100,255400
6131500,184300
5405600,179800
4734000,179300
4507300,179300
5123600,178700
4601300,182000
4240200,178700
4610200,178600
4569800,178600
4168900,178500
4422400,178700
6318300,181700
4489700,178700
4274700,178600
3665900,178600
3588600,178600
3573300,179000
3651800,181700
4346600,178700
5178900,178600
5319000,178600
5168500,178700
5185900,181700
5208600,178800
5173400,178600
5179200,178700
5202400,178600
5402600,178500
4942600,181700
4377200,178600
4466800,178500
4557400,178600
4483400,178500
4519700,200400
4406900,178800
6141600,178700
4409100,178700
4303900,178700
4419300,178600
4299000,181600
4324200,178600
4237700,178500
4069500,178600
4201700,178600
4237400,182500
4213900,178600
4284300,178500
4194700,178500
4179600,178600
4169400,178500
4197800,182000
4214300,178500
4177400,178500
4553500,178500
4195800,178500
4203800,181500
3785500,178600
3648700,178600
3851100,187100
4228200,171300
4430800,171300
4517200,174300
4367700,171400
4427600,171300
4456000,171500
4256100,171300
4314900,171300
4328300,174200
4351200,171300
4309000,171300
4324400,171200
4366600,171300
4442400,171500
4369100,174000
4346300,171200
4181300,171200
3908200,171300
4431500,171400
4360700,180600
4327300,197100
4219700,171800
4203300,171800
4295700,171400
4465500,171300
4298500,174600
5875000,171300
4318200,190000
4306100,178400
4167800,178400
4154800,181600
4235200,178400
4317800,178500
4299300,186000
4390900,171400
4300800,171300
4323600,174500
4298900,171300
4310800,185600
4326300,164800
4296600,164600
4312000,164700
4339800,167600
4480000,164800
4300400,179900
4380600,171300
4346500,171300
4307200,171300
4316700,174300
4432900,171300
4044500,191900
4279700,178400
4307200,178500
4194500,181600
4155100,178500
4174100,191200
4340600,171400
4297900,171300
4325200,171300
4246200,174400
4283400,171300
4168500,171400
